# Progression simulation
# runs=20000 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=10 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=150
# finalChips=4045308 totalEarned=103226808 prestiges=4 insight=29 cycleInsight=0 lifetimeInsight=540 simSeconds=151608
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished	IncomeMix
421	5383	TokenPack	Token Pack	12000	chips	50264	1354664
427	5437	Upgrade.ActiveMultiplier	Active Multiplier L5	100000	chips	5573	1409973
437	5519	TokenPack	Token Pack	12400	chips	87106	1503906
439	5535	Upgrade.SalvageProtocol	Salvage Protocol L3	100000	chips	2938	1519738
452	5642	Upgrade.ComboEngine	Combo Engine L4	125000	chips	4101	1645901
457	5688	TokenPack	Token Pack	12400	chips	46346	1700546
468	5781	Upgrade.Speed	Speed L5	150000	chips	3828	1808028
477	5843	TokenPack	Token Pack	12400	chips	68980	1885580
487	5915	Upgrade.ScalingFrequency	Scaling Frequency L2	150000	chips	1973	1968573
497	5980	TokenPack	Token Pack	12400	chips	62129	2041129
508	6056	Upgrade.ChipYield	Chip Yield	155000	chips	1585	2135585
517	6115	TokenPack	Token Pack	12400	chips	65682	2212082
529	6195	Upgrade.Difficulty	Difficulty L2	180000	chips	2215	2328615
537	6245	TokenPack	Token Pack	12400	chips	71777	2410577
554	6344	Unlock.AgentsMenu	Agents Menu	200000	chips	7467	2546267
557	6359	TokenPack	Token Pack	12400	chips	104249	2655449
561	6381	Upgrade.ProfitableEnding	Profitable Ending L2	200000	chips	13808	2765008
565	6405	Upgrade.PassiveTickRate	Passive Tick Rate L5	200000	chips	3576	2954776
570	6433	Upgrade.SalvageProtocol	Salvage Protocol L4	200000	chips	30919	3182119
575	6461	Upgrade.TokenDividend	Token Dividend L2	200000	chips	50183	3401383
577	6472	TokenPack	Token Pack	12400	chips	135238	3498838
580	6490	Solver.COMBO	Solver COMBO	250000	chips	39714	3653314
584	6519	Upgrade.ScalingFrequency	Scaling Frequency L3	250000	chips	9315	3872915
587	6542	Upgrade.ComboEngine	Combo Engine L5	250000	chips	43454	4157054
591	6571	Agent.Restart Sponsor	Agent Restart Sponsor	250000	chips	51929	4415529
595	6601	Upgrade.ComputeSpeed	Compute Speed L1	300000	chips	28259	4691859
600	6635	Upgrade.PassiveYield	Passive Yield L6	300000	chips	19510	4983110
604	6665	Upgrade.ActiveMultiplier	Active Multiplier L6	350000	chips	52977	5366577
610	6706	Upgrade.ChipYield	Chip Yield	390000	chips	102487	5806087
614	6735	Upgrade.Speed	Speed L6	400000	chips	44879	6148479
619	6765	Upgrade.StackCapacity	Stack Cap L3	400000	chips	53876	6557476
624	6798	Upgrade.SalvageProtocol	Salvage Protocol L5	400000	chips	88408	6992008
629	6831	Solver.LOOK	Solver LOOK	500000	chips	114070	7517670
634	6866	Upgrade.ScalingFrequency	Scaling Frequency L4	500000	chips	113082	8016682
638	6893	Upgrade.ComboEngine	Combo Engine L6	500000	chips	42252	8445852
644	6929	Agent.Highwater Analyst	Agent Highwater Analyst	500000	chips	114068	9017668
649	6961	Upgrade.Difficulty	Difficulty L3	600000	chips	52212	9555812
653	6984	Upgrade.ProfitableEnding	Profitable Ending L3	600000	chips	16955	10120555
661	7027	Upgrade.ComputeSpeed	Compute Speed L2	800000	chips	195355	11098955
667	7058	Upgrade.ScalingFrequency	Scaling Frequency L5	800000	chips	159046	11862646
673	7088	Upgrade.PassiveTickRate	Passive Tick Rate L6	800000	chips	37211	12540811
680	7123	Upgrade.ActiveMultiplier	Active Multiplier L7	800000	chips	70979	13374579
686	7154	Upgrade.SalvageProtocol	Salvage Protocol L6	800000	chips	106040	14209640
692	7188	Upgrade.TokenDividend	Token Dividend L3	800000	chips	106437	15010037
698	7222	Upgrade.ChipYield	Chip Yield	970000	chips	149016	16022616
704	7256	Upgrade.Speed	Speed L7	1000000	chips	26302	16899902
711	7286	Upgrade.PassiveYield	Passive Yield L7	1000000	chips	96859	17970459
717	7312	Agent.Quartermaster	Agent Quartermaster	1000000	chips	18869	18892469
723	7338	TokenPack	Token Pack	12400	chips	797378	19683378
725	7347	Upgrade.ComboEngine	Combo Engine L7	1200000	chips	33301	20119301
734	7389	Upgrade.ScalingFrequency	Scaling Frequency L6	1400000	chips	304227	21790227
743	7426	TokenPack	Token Pack	12400	chips	1441486	22939886
744	7431	Upgrade.ComputeSpeed	Compute Speed L3	1500000	chips	94905	23093305
752	7468	Upgrade.PassiveTickRate	Passive Tick Rate L7	1500000	chips	76533	24574933
753	7473	Upgrade.PassiveTickRate	Passive Tick Rate L8	300000	chips	4411	24802811
760	7505	Upgrade.SalvageProtocol	Salvage Protocol L7	1600000	chips	39593	26437993
763	7518	TokenPack	Token Pack	12400	chips	603907	27014707
769	7544	Upgrade.Difficulty	Difficulty L4	1800000	chips	64521	28275321
778	7582	Upgrade.Speed	Speed L8	2000000	chips	188875	30399675
783	7601	TokenPack	Token Pack	12400	chips	1131126	31354326
788	7619	Upgrade.QueuePreview	Queue Preview	2000000	chips	130167	32353367
796	7650	Upgrade.ProfitableEnding	Profitable Ending L4	2000000	chips	31781	34254981
803	7675	TokenPack	Token Pack	12400	chips	1290052	35525652
807	7691	Upgrade.ActiveMultiplier	Active Multiplier L8	2000000	chips	4742	36240342
816	7726	Agent.Score Auditor	Agent Score Auditor	2000000	chips	127631	38363231
823	7752	TokenPack	Token Pack	12400	chips	1938692	40186692
826	7763	Upgrade.ChipYield	Chip Yield	2400000	chips	293104	40941104
836	7799	Upgrade.StackCapacity	Stack Cap L4	2500000	chips	117918	43265918
843	7826	TokenPack	Token Pack	12400	chips	2080435	45240835
845	7835	Upgrade.PassiveYield	Passive Yield L8	2500000	chips	148284	45808684
853	7869	Upgrade.ComboEngine	Combo Engine L8	2500000	chips	266373	48426773
863	7909	TokenPack	Token Pack	12400	chips	3110712	51283512
863	7909	Upgrade.ScalingFrequency	Scaling Frequency L7	3000000	chips	110712	51283512
874	7950	Upgrade.SalvageProtocol	Salvage Protocol L8	3200000	chips	139790	54512590
883	7985	TokenPack	Token Pack	12400	chips	3107255	57492455
884	7988	Upgrade.TokenDividend	Token Dividend L4	3200000	chips	339272	57924472
896	8035	Upgrade.Speed	Speed L9	4000000	chips	88993	61674193
903	8058	TokenPack	Token Pack	12400	chips	2171499	63769099
909	8080	Upgrade.ComputeSpeed	Compute Speed L4	4000000	chips	215633	65813233
922	8126	Agent.Overclocker	Agent Overclocker	4000000	chips	436648	70034248
923	8129	TokenPack	Token Pack	12400	chips	625115	70235115
941	8180	Upgrade.ActiveMultiplier	Active Multiplier L9	4500000	chips	149838	74259838
943	8186	TokenPack	Token Pack	12400	chips	591402	74713802
963	8246	TokenPack	Token Pack	12400	chips	5244900	79379700
963	8246	Solver.MOCA	Solver MOCA	5000000	chips	244900	79379700
983	8304	TokenPack	Token Pack	12400	chips	4949306	84096506
984	8307	Unlock.ExtraAgentSlot	Extra Agent Slot	5000000	chips	192728	84339928
1002	8356	Upgrade.ScalingFrequency	Scaling Frequency L8	5000000	chips	162545	89309745
1003	8359	TokenPack	Token Pack	12400	chips	489414	89649014
1018	8403	Upgrade.ProfitableEnding	Profitable Ending L5	5000000	chips	186639	94346239
1023	8417	TokenPack	Token Pack	12400	chips	1616724	95788724
1035	8453	Upgrade.PassiveYield	Passive Yield L9	5000000	chips	367505	99539505
1043	8477	TokenPack	Token Pack	12400	chips	2929516	102113916
1050	8496	Upgrade.ComboEngine	Combo Engine L9	5000000	chips	147034	104331434
1063	8535	TokenPack	Token Pack	12400	chips	5563177	109759977
1065	8540	Upgrade.ChipYield	Chip Yield	6000000	chips	330484	110527284
1081	8588	Upgrade.Difficulty	Difficulty L5	6000000	chips	346941	116543741
1083	8593	TokenPack	Token Pack	12400	chips	1428301	117637501
1092	8617	Upgrade.PassiveTickRate	Passive Tick Rate L9	6000000	chips	74332	122283532
1103	8648	TokenPack	Token Pack	12400	chips	6895923	129117523
1103	8648	Upgrade.SalvageProtocol	Salvage Protocol L9	6400000	chips	495923	129117523
1116	8684	Upgrade.Speed	Speed L10	8000000	chips	431467	137053067
1123	8703	TokenPack	Token Pack	12400	chips	3755670	140389670
1130	8722	Upgrade.QueuePreview	Queue Preview	8000000	chips	54704	144688704
1143	8758	TokenPack	Token Pack	12400	chips	7577151	152223551
1144	8761	Upgrade.ScalingFrequency	Scaling Frequency L9	8000000	chips	103327	152749727
1158	8798	Upgrade.ActiveMultiplier	Active Multiplier L10	8000000	chips	552353	161198753
1163	8812	TokenPack	Token Pack	12400	chips	4103679	164762479
1169	8830	Agent.Velocity Trader	Agent Velocity Trader	8000000	chips	154299	168813099
1179	8858	Upgrade.PassiveYield	Passive Yield L10	9000000	chips	50602	177709402
1183	8870	TokenPack	Token Pack	12400	chips	4474513	182145713
1189	8885	Upgrade.ComputeSpeed	Compute Speed L5	10000000	chips	1089686	188760886
1198	8911	Upgrade.PassiveTickRate	Passive Tick Rate L10	10000000	chips	156322	197827522
1203	8925	TokenPack	Token Pack	12400	chips	5898595	203582195
1206	8933	Upgrade.ComboEngine	Combo Engine L10	10000000	chips	48360	207731960
1215	8957	Agent.Move Dividend	Agent Move Dividend	10000000	chips	819974	218503574
1223	8979	TokenPack	Token Pack	12400	chips	9874509	227570509
