# Progression simulation
# runs=27772 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=20 ppoNormalRunsPerPrestige=1000 ppoTrainingMovesPerRun=150
# finalChips=10000 totalEarned=250000 prestiges=20 insight=24262 cycleInsight=0 lifetimeInsight=837173 simSeconds=353145
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
10	Prestige #11	20951	241113	12543
11	First solver bought	20951	241113	0
11	Auto Solve	20951	241113	0
11	Auto Restart	20951	241113	0
11	Solver Tuning	20951	241113	0
11	Agents Menu	21067	242112	1000
11	All agents hired	21547	244336	3223
11	Modifiers Menu	21758	244990	3877
11	All chip upgrades maxed	21780	245076	3964
11	All modifiers maxed (PPO gate)	21789	245120	4007
11	PPO bought	21800	245179	4066
11	PPO Normal mode	21800	245179	4066
11	Prestige #12	21801	253903	12790
12	First solver bought	21801	253903	0
12	Auto Solve	21801	253903	0
12	Auto Restart	21801	253903	0
12	Solver Tuning	21801	253903	0
12	Agents Menu	21917	254905	1002
12	All agents hired	22400	257121	3218
12	Modifiers Menu	22569	257651	3748
12	All chip upgrades maxed	22600	257773	3870
12	All modifiers maxed (PPO gate)	22608	257815	3912
12	PPO bought	22620	257876	3973
12	PPO Normal mode	22620	257876	3973
12	Prestige #13	22621	266731	12827
13	First solver bought	22621	266731	0
13	Auto Solve	22621	266731	0
13	Auto Restart	22621	266731	0
13	Solver Tuning	22621	266731	0
13	Agents Menu	22730	267647	917
13	All agents hired	23192	269773	3043
13	Modifiers Menu	23364	270311	3581
13	All chip upgrades maxed	23389	270410	3680
13	All modifiers maxed (PPO gate)	23397	270449	3718
13	PPO bought	23408	270504	3774
13	PPO Normal mode	23408	270504	3774
13	Prestige #14	23409	279267	12536
14	First solver bought	23409	279267	0
14	Auto Solve	23409	279267	0
14	Auto Restart	23409	279267	0
14	Solver Tuning	23409	279267	0
14	Agents Menu	23519	280200	933
14	All agents hired	23956	282237	2970
14	Modifiers Menu	24107	282713	3446
14	All chip upgrades maxed	24138	282830	3563
14	All modifiers maxed (PPO gate)	24144	282860	3593
14	PPO bought	24157	282928	3661
14	PPO Normal mode	24157	282928	3661
14	Prestige #15	24158	291672	12405
15	First solver bought	24158	291672	0
15	Auto Solve	24158	291672	0
15	Auto Restart	24158	291672	0
15	Solver Tuning	24158	291672	0
15	Agents Menu	24267	292604	932
15	All agents hired	24718	294704	3032
15	Modifiers Menu	24897	295259	3587
15	All chip upgrades maxed	24920	295355	3683
15	All modifiers maxed (PPO gate)	24926	295384	3712
15	PPO bought	24938	295444	3772
15	PPO Normal mode	24938	295444	3772
15	Prestige #16	24939	304276	12604
16	First solver bought	24939	304276	0
16	Auto Solve	24939	304276	0
16	Auto Restart	24939	304276	0
16	Solver Tuning	24939	304276	0
16	Agents Menu	25031	305062	786
16	All agents hired	25442	306943	2667
16	Modifiers Menu	25698	307713	3437
16	All chip upgrades maxed	25715	307780	3504
16	All modifiers maxed (PPO gate)	25722	307812	3535
16	PPO bought	25732	307864	3588
16	PPO Normal mode	25732	307864	3588
16	Prestige #17	25733	316775	12499
17	First solver bought	25733	316775	0
17	Auto Solve	25733	316775	0
17	Auto Restart	25733	316775	0
17	Solver Tuning	25733	316775	0
17	Agents Menu	25826	317583	808
17	All agents hired	26214	319396	2621
17	Modifiers Menu	26410	320001	3226
17	All chip upgrades maxed	26427	320065	3290
17	All modifiers maxed (PPO gate)	26434	320100	3324
