# Progression simulation
# runs=29427 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=12 ppoNormalRunsPerPrestige=100
# finalChips=3962221 totalEarned=58840421 prestiges=8 insight=998 cycleInsight=0 lifetimeInsight=8478 simSeconds=200620
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
666	8566	Token Pack	10000	chips	41976	835176
701	8949	Agents Menu	120000	chips	566	913766
707	9015	Agent Merge Broker	60000	chips	8223	981423
715	9100	Agent Highwater Analyst	120000	chips	7776	1100976
717	9121	Token Pack	10000	chips	33868	1137068
724	9190	Solver PLAN-3	130000	chips	4416	1237616
731	9294	Active Multiplier L3	130000	chips	21379	1384579
737	9387	Passive Yield L3	140000	chips	6476	1509676
746	9510	Speed L3	150000	chips	12502	1665702
754	9598	Compute Speed L1	150000	chips	40353	1843553
762	9672	Passive Tick Rate L3	175000	chips	20035	1998235
766	9712	Token Pack	10000	chips	91925	2080125
771	9758	Solver COMBO	180000	chips	4712	2172912
782	9846	Difficulty L2	180000	chips	6598	2354798
798	9958	Solver MOCA	220000	chips	902	2569102
812	10058	Agent Score Auditor	220000	chips	3786	2791986
816	10092	Token Pack	10000	chips	72138	2870338
829	10178	Profitable Ending L2	240000	chips	2344	3040544
850	10326	Compute Speed L2	300000	chips	17514	3355714
866	10431	Token Pack	10000	chips	213602	3561802
874	10481	Scaling Frequency L2	300000	chips	6241	3654441
899	10640	Chip Yield	350000	chips	9806	4008006
916	10752	Token Pack	10000	chips	269244	4277444
924	10804	Solver PLAN-5	400000	chips	14074	4422274
947	10954	Stack Cap L3	400000	chips	15484	4823684
966	11093	Token Pack	10000	chips	395390	5213590
967	11100	Queue Preview	400000	chips	13737	5231937
984	11231	Agent Overclocker	400000	chips	4902	5623102
1015	11417	Difficulty L3	600000	chips	6396	6224596
1018	11432	Token Pack	10000	chips	42423	6270623
1051	11611	Agent Quartermaster	650000	chips	1395	6879595
1066	11691	Token Pack	10000	chips	241408	7129608
1096	11847	Compute Speed L3	700000	chips	8800	7597000
1116	11956	Token Pack	10000	chips	337684	7935884
1140	12085	Active Multiplier L4	700000	chips	8416	8306616
1166	12222	Token Pack	10000	chips	430407	8738607
1185	12323	Profitable Ending L3	750000	chips	15977	9074177
1216	12490	Token Pack	10000	chips	544808	9613008
1227	12552	Passive Yield L4	750000	chips	12716	9830916
1266	12762	Token Pack	10000	chips	691744	10519944
1273	12799	Speed L4	800000	chips	13467	10641667
1316	12967	Token Pack	10000	chips	810313	11448513
1321	12987	Solver MOCA+	900000	chips	9797	11547997
1366	13159	Token Pack	10000	chips	797616	12345816
1373	13185	Scaling Frequency L3	900000	chips	6436	12454636
1416	13347	Token Pack	10000	chips	814512	13272712
1422	13369	Passive Tick Rate L4	900000	chips	36054	13394254
1466	13538	Token Pack	10000	chips	923110	14291310
1470	13553	Agent Restart Sponsor	1000000	chips	2177	14370377
1516	13726	Token Pack	10000	chips	862160	15240360
1549	13851	Extra Agent Slot	1500000	chips	8549	15886749
1566	13914	Token Pack	10000	chips	373613	16261813
1616	14106	Token Pack	10000	chips	1495061	17393261
1617	14109	Agent Token Prospector	1500000	chips	9548	17407748
1666	14296	Token Pack	10000	chips	1087412	18495612
1701	14429	Solver MCTS	1800000	chips	21172	19229372
1716	14482	Token Pack	10000	chips	291122	19509322
1766	14671	Token Pack	10000	chips	1401321	20629521
1783	14735	Difficulty L4	1800000	chips	37156	21065356
1816	14848	Token Pack	10000	chips	707344	21745544
1866	15020	Token Pack	10000	chips	1735302	22783502
1877	15061	Compute Speed L4	2000000	chips	1672	23049872
1916	15193	Token Pack	10000	chips	706496	23764696
1966	15372	Token Pack	10000	chips	1727288	24795488
1991	15458	Stack Cap L4	2200000	chips	29234	25297434
2016	15553	Token Pack	10000	chips	673853	25952053
2066	15744	Token Pack	10000	chips	1950557	27238757
2077	15785	Profitable Ending L4	2200000	chips	3012	27491212
2116	15927	Token Pack	10000	chips	917954	28416154
2166	16117	Token Pack	10000	chips	2166808	29675008
2168	16125	Agent Move Dividend	2200000	chips	18310	29726510
2216	16304	Token Pack	10000	chips	1195496	30913696
2266	16492	Token Pack	10000	chips	2494008	32222208
2267	16496	Chip Yield	2500000	chips	14587	32242787
2316	16674	Token Pack	10000	chips	1329771	33567971
2363	16850	Scaling Frequency L4	2700000	chips	3411	34941611
2366	16860	Token Pack	10000	chips	66023	35014223
2416	17038	Token Pack	10000	chips	1331911	36290111
2466	17225	Token Pack	10000	chips	2864715	37832915
2473	17250	Agent Velocity Trader	3000000	chips	24087	37992287
2516	17405	Token Pack	10000	chips	1801019	39779219
2558	17560	Passive Yield L5	3800000	chips	23307	41801507
2566	17588	Token Pack	10000	chips	296711	42084911
2616	17771	Token Pack	10000	chips	2336419	44134619
2661	17933	Speed L5	4000000	chips	4275	45802475
2666	17950	Token Pack	10000	chips	197915	46006115
2716	18100	Token Pack	10000	chips	2341975	48160175
2766	18250	Token Pack	10000	chips	4349595	50177795
2769	18260	Compute Speed L5	4500000	chips	28119	50356319
2816	18401	Token Pack	10000	chips	2005103	52343303
2866	18551	Token Pack	10000	chips	3978655	54326855
2879	18589	Passive Tick Rate L5	4500000	chips	38227	54886427
2916	18703	Token Pack	10000	chips	1539291	56397491
2966	18856	Token Pack	10000	chips	3715259	58583459
2986	18916	Active Multiplier L5	4500000	chips	7631	59375831
3016	19006	Token Pack	10000	chips	1230679	60608879
3066	19153	Token Pack	10000	chips	3329247	62717447
3116	19298	Token Pack	10000	chips	5222027	64620227
3135	19354	Difficulty L5	6000000	chips	1463	65399663
3166	19444	Token Pack	10000	chips	1418215	66826415
3200	19543	Modifiers Menu	3000000	chips	295	68408495
3205	19558	Modifier Unstable Stack L1	800000	chips	195907	69404107
3211	19576	Modifier Unstable Stack L2	1600000	chips	40845	70849045
3216	19592	Token Pack	10000	chips	1671247	72489447
3217	19595	Modifier Queue Scrubber L1	1800000	chips	126252	72744452
3226	19623	Modifier Miner's Pickaxe L1	2000000	chips	128617	74746817
3239	19665	Modifier Catalyst Stack L1	3000000	chips	59157	77677357
3249	19697	Modifier Mirror Stack L1	3000000	chips	278380	80896580
3252	19710	Modifier Unstable Stack L3	3200000	chips	115068	83933268
3257	19730	Modifier Queue Scrubber L2	3600000	chips	481781	87899981
3261	19746	Modifier Miner's Pickaxe L2	4000000	chips	345516	91763716
3266	19767	Token Pack	10000	chips	5441731	96869931
3266	19767	Modifier Joker L1	4500000	chips	941731	96869931
3270	19785	Modifier Neural Accelerator L1	6000000	chips	470606	102398806
3276	19813	Modifier Unstable Stack L4	6400000	chips	922567	109250767
3282	19839	Profitable Ending L5	7000000	chips	121471	115449671
3287	19864	Modifier Queue Scrubber L3	7200000	chips	689039	123217239
3291	19883	Scaling Frequency L5	8000000	chips	627626	131155826
3297	19910	Modifier Miner's Pickaxe L3	8000000	chips	2223047	140751247
3303	19939	Stack Cap L5	11000000	chips	1900534	151428734
3309	19969	Modifier Unstable Stack L5	12800000	chips	799851	163128051
3316	20002	Token Pack	10000	chips	14139870	176478070
3317	20007	Modifier Queue Scrubber L4	14400000	chips	1849713	178587913
3324	20042	Chip Yield	15000000	chips	1521540	193259740
3332	20079	Modifier Miner's Pickaxe L4	16000000	chips	1182218	208920418
3343	20137	Modifier Queue Scrubber L5	28800000	chips	399944	236938144
3355	20197	Modifier Miner's Pickaxe L5	32000000	chips	685890	269224090
3366	20254	Token Pack	10000	chips	25457570	294005770
3394	20401	Solver PPO	100000000	chips	334900	368883100
3400	23401	PPO Training Complete	0	frames	500000	368883100
3401	24057	Prestige +1 Insight	0	Insight	1	0
3410	24641	Solver RAND	1000	chips	92	1092
3419	25227	Auto Solve	1200	chips	10	2210
3445	25424	Solver MERG	3000	chips	73	5273
3452	25522	Chip Yield	4000	chips	68	9268
3456	25581	Active Multiplier L1	4000	chips	69	13269
3462	25666	Passive Yield L1	5000	chips	639	18839
3468	25751	Solver BAL	6000	chips	286	24486
3476	25857	Speed L1	6000	chips	93	30293
3485	25951	Passive Tick Rate L1	7000	chips	32	37232
3494	26051	Auto Restart	8000	chips	180	45380
3509	26213	Stack Cap L1	12000	chips	493	57693
3528	26438	Solver STALL	18000	chips	816	76016
3556	26895	Active Multiplier L2	25000	chips	260	100460
3593	27468	Passive Yield L2	28000	chips	648	128848
3628	28033	Solver HEUR	30000	chips	1048	159248
3652	28415	Solver Tuning	30000	chips	717	188917
3675	28786	Speed L2	30000	chips	497	218697
3703	29134	Passive Tick Rate L2	35000	chips	538	253738
3737	29543	Token Pack	10000	chips	30351	293551
3746	29615	Queue Preview	40000	chips	385	303585
3779	29892	Token Pack	10000	chips	30844	344044
3786	29953	Chip Yield	40000	chips	140	353340
3814	30188	Token Pack	10000	chips	30770	393970
3833	30352	Difficulty L1	60000	chips	377	423577
3865	30591	Token Pack	10000	chips	30276	463476
3896	30826	Stack Cap L2	70000	chips	658	503858
3924	31059	Token Pack	10000	chips	30877	544077
3958	31341	Solver LOOK	80000	chips	335	593535
3976	31557	Token Pack	10000	chips	32120	635320
4000	31825	Profitable Ending L1	80000	chips	1706	684906
4017	32032	Token Pack	10000	chips	34858	728058
4041	32314	Scaling Frequency L1	90000	chips	1762	784962
4063	32560	Token Pack	10000	chips	42363	835563
4098	32946	Agents Menu	120000	chips	764	913964
4104	33013	Agent Merge Broker	60000	chips	6138	979338
4113	33103	Token Pack	10000	chips	108535	1091735
4114	33117	Agent Highwater Analyst	120000	chips	12087	1115287
4121	33197	Solver PLAN-3	130000	chips	10271	1243471
4128	33298	Active Multiplier L3	130000	chips	1372	1364572
4136	33415	Passive Yield L3	140000	chips	1308	1504508
4142	33512	Speed L3	150000	chips	2054	1655254
4149	33588	Compute Speed L1	150000	chips	2593	1805793
4158	33673	Passive Tick Rate L3	175000	chips	12446	1990646
4163	33727	Token Pack	10000	chips	128312	2116512
4167	33760	Solver COMBO	180000	chips	7411	2175611
4178	33851	Difficulty L2	180000	chips	17479	2365679
4192	33948	Solver MOCA	220000	chips	4710	2572910
4208	34058	Agent Score Auditor	220000	chips	10305	2798505
4213	34090	Token Pack	10000	chips	73560	2871760
4224	34167	Profitable Ending L2	240000	chips	7175	3045375
4246	34318	Compute Speed L2	300000	chips	9805	3348005
4263	34435	Token Pack	10000	chips	227904	3576104
4269	34473	Scaling Frequency L2	300000	chips	7620	3655820
4294	34634	Chip Yield	350000	chips	4351	4002551
