# Progression simulation
# runs=28011 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=25 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=220
# finalChips=0 totalEarned=500000 prestiges=25 insight=56767 cycleInsight=952 lifetimeInsight=614678 simSeconds=278332
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
10	Auto Solve	20435	181946	0
10	Auto Restart	20435	181946	0
10	Solver Tuning	20435	181946	0
10	Datacenter unlocked	20435	181946	0
10	Agents Menu	20474	182314	368
10	All agents hired	20931	184412	2466
10	Modifiers Menu	21196	185213	3267
10	All chip upgrades maxed	21217	185298	3352
10	All modifiers maxed (PPO gate)	21224	185332	3386
10	PPO bought	21233	185381	3435
10	PPO Normal mode	21233	185381	3435
10	Prestige #11	21234	189492	7547
11	First solver bought	21234	189492	0
11	Auto Solve	21234	189492	0
11	Auto Restart	21234	189492	0
11	Solver Tuning	21234	189492	0
11	Datacenter unlocked	21234	189492	0
11	Agents Menu	21264	189784	292
11	All agents hired	21639	191515	2023
11	Modifiers Menu	21762	191903	2411
11	All chip upgrades maxed	21783	191987	2494
11	All modifiers maxed (PPO gate)	21789	192015	2522
11	PPO bought	21798	192062	2569
11	PPO Normal mode	21798	192062	2569
11	Prestige #12	21799	196363	6871
12	First solver bought	21799	196363	0
12	Auto Solve	21799	196363	0
12	Auto Restart	21799	196363	0
12	Solver Tuning	21799	196363	0
12	Datacenter unlocked	21799	196363	0
12	Agents Menu	21831	196667	304
12	All agents hired	22208	198392	2029
12	Modifiers Menu	22351	198836	2473
12	All chip upgrades maxed	22375	198928	2565
12	All modifiers maxed (PPO gate)	22381	198958	2595
12	PPO bought	22389	198998	2635
12	PPO Normal mode	22389	198998	2635
12	Prestige #13	22390	203190	6827
13	First solver bought	22390	203190	0
13	Auto Solve	22390	203190	0
13	Auto Restart	22390	203190	0
13	Solver Tuning	22390	203190	0
13	Datacenter unlocked	22390	203190	0
13	Agents Menu	22411	203393	203
13	All agents hired	22766	205020	1830
13	Modifiers Menu	22986	205684	2494
13	All chip upgrades maxed	23003	205753	2562
13	All modifiers maxed (PPO gate)	23009	205782	2591
13	PPO bought	23018	205829	2638
13	PPO Normal mode	23018	205829	2638
13	Prestige #14	23019	209987	6797
14	First solver bought	23019	209987	0
14	Auto Solve	23019	209987	0
14	Auto Restart	23019	209987	0
14	Solver Tuning	23019	209987	0
14	Datacenter unlocked	23019	209987	0
14	Agents Menu	23041	210201	214
14	All agents hired	23378	211769	1782
14	Modifiers Menu	23499	212148	2161
14	All chip upgrades maxed	23521	212232	2244
14	All modifiers maxed (PPO gate)	23527	212261	2274
14	PPO bought	23535	212303	2315
14	PPO Normal mode	23535	212303	2315
14	Prestige #15	23536	216602	6615
15	First solver bought	23536	216602	0
15	Auto Solve	23536	216602	0
15	Auto Restart	23536	216602	0
15	Solver Tuning	23536	216602	0
15	Datacenter unlocked	23536	216602	0
15	Agents Menu	23554	216785	183
15	All agents hired	23845	218157	1555
15	Modifiers Menu	24008	218658	2055
15	All chip upgrades maxed	24020	218706	2103
15	All modifiers maxed (PPO gate)	24024	218725	2123
15	PPO bought	24030	218755	2152
15	PPO Normal mode	24030	218755	2152
