# Progression simulation
# runs=33548 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=25 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=220
# finalChips=0 totalEarned=500000 prestiges=25 insight=55696 cycleInsight=0 lifetimeInsight=613607 simSeconds=316261
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
0	1	3401	0	33151	33151	1	False
1	3402	6504	33151	65267	32116	105	False
2	6505	9883	65267	94114	28847	462	False
3	9884	12118	94114	114914	20800	1046	False
4	12119	14572	114914	134092	19178	1562	False
5	14573	16225	134092	147843	13750	2395	False
6	16226	17774	147843	160404	12561	2508	False
7	17775	19219	160404	172462	12058	2860	False
8	19220	20456	172462	183070	10608	2894	False
9	20457	21664	183070	193511	10441	2915	False
10	21665	22751	193511	203032	9521	2880	False
11	22752	23647	203032	211640	8609	2505	False
12	23648	24372	211640	219953	8313	2883	False
13	24373	25313	219953	228653	8700	2887	False
14	25314	26219	228653	237293	8640	3222	False
15	26220	26992	237293	245610	8317	3254	False
16	26993	27730	245610	253531	7922	2849	False
17	27731	28552	253531	261888	8356	3252	False
18	28553	29284	261888	269730	7843	3262	False
19	29285	29977	269730	277355	7625	2909	False
20	29978	30715	277355	285127	7772	3279	False
21	30716	31377	285127	292777	7650	2919	False
22	31378	32129	292777	300762	7985	3248	False
23	32130	32797	300762	308501	7738	3273	False
24	32798	33548	308501	316261	7761	3227	False

# Phases:
Cycle	Phase	Run	SimSeconds	CycleSeconds
0	First solver bought	9	557	557
0	Auto Solve	20	1223	1223
0	Auto Restart	97	2066	2066
0	Solver Tuning	249	4381	4381
0	Agents Menu	701	8949	8949
0	All agents hired	2473	17250	17250
0	Modifiers Menu	3200	19543	19543
0	All chip upgrades maxed	3324	20042	20042
0	All modifiers maxed (PPO gate)	3355	20197	20197
0	PPO bought	3394	20401	20401
0	PPO Normal mode	3400	29083	29083
0	Prestige #1	3401	33151	33151
1	First solver bought	3410	33735	584
1	Auto Solve	3419	34321	1170
1	Auto Restart	3494	35146	1994
1	Solver Tuning	3652	37509	4357
1	Agents Menu	4098	42041	8889
1	All agents hired	5882	50350	17198
1	Modifiers Menu	6270	51629	18478
1	All chip upgrades maxed	6423	52249	19097
1	All modifiers maxed (PPO gate)	6458	52424	19272
1	PPO bought	6497	52626	19475
1	PPO Normal mode	6503	61308	28157
1	Prestige #2	6504	65267	32116
2	First solver bought	6504	65267	0
2	Auto Solve	6504	65267	0
2	Auto Restart	6504	65267	0
2	Solver Tuning	6651	67333	2066
2	Agents Menu	7093	71820	6553
2	All agents hired	8906	80264	14997
2	Modifiers Menu	9672	82655	17388
2	All chip upgrades maxed	9797	83138	17871
2	All modifiers maxed (PPO gate)	9834	83320	18053
2	PPO bought	9877	83544	18277
2	PPO Normal mode	9882	90121	24854
2	Prestige #3	9883	94114	28847
3	First solver bought	9883	94114	0
3	Auto Solve	9883	94114	0
3	Auto Restart	9883	94114	0
3	Solver Tuning	9883	94114	0
3	Agents Menu	10230	97394	3280
3	Modifiers Menu	11876	105125	11011
3	All agents hired	11931	105333	11218
3	All chip upgrades maxed	12045	105850	11736
3	All modifiers maxed (PPO gate)	12076	106002	11888
3	PPO bought	12113	106193	12079
3	PPO Normal mode	12117	110937	16823
3	Prestige #4	12118	114914	20800
4	First solver bought	12118	114914	0
4	Auto Solve	12118	114914	0
4	Auto Restart	12118	114914	0
4	Solver Tuning	12118	114914	0
4	Agents Menu	12466	118074	3160
4	All agents hired	13943	124906	9992
4	Modifiers Menu	14412	126409	11495
4	All chip upgrades maxed	14513	126820	11906
4	All modifiers maxed (PPO gate)	14541	126952	12038
4	PPO bought	14568	127097	12183
4	PPO Normal mode	14571	130160	15245
4	Prestige #5	14572	134092	19178
5	First solver bought	14572	134092	0
5	Auto Solve	14572	134092	0
5	Auto Restart	14572	134092	0
5	Solver Tuning	14572	134092	0
5	Agents Menu	14660	135038	945
5	All agents hired	15735	140007	5914
5	Modifiers Menu	16123	141240	7147
5	All chip upgrades maxed	16183	141483	7390
5	All modifiers maxed (PPO gate)	16200	141570	7477
