# Progression simulation
# runs=2240 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
9	Solver RAND	1000	5	1005
900	387794	15874	7926994	Combo	1914	114	256	
950	1483086	19576	9022286	Combo	2981	130	128	
952	27956	29133	9067156	Combo	3823	136	256	Extra Agent Slot
1000	1012322	21368	10051522	Combo	3108	125	128	
1024	16446	32289	10555646	Combo	3213	110	512	Agent Token Prospector
1050	588940	42214	11128140	Combo	4921	184	256	
1100	1544897	14153	12084097	Combo	2302	167	64	
1110	11012	34710	12350212	Combo	3467	135	512	Solver MCTS
1150	788520	37812	13127720	Combo	4396	115	512	
1200	1862365	22763	14201565	Combo	3323	174	128	
1216	28771	29955	14567971	Combo	3857	158	256	Stack Cap L4
1250	922342	33036	15461542	Combo	4274	216	256	
1300	2079019	48309	16618219	Combo	4957	169	512	
1305	2641	16693	16741841	Combo	2538	167	128	Agent Move Dividend
1350	1204105	26842	17943305	Combo	3425	180	256	
1400	2395836	18073	19135036	Combo	2834	163	128	
1406	10684	14045	19249884	Combo	2242	135	128	Chip Yield
1450	1265320	17844	20504520	Combo	2463	159	64	
1500	2713048	35124	21952248	Combo	4213	174	256	
1509	22876	52212	22262076	Combo	5803	199	256	Agent Velocity Trader
1550	1262164	13368	23501364	Combo	1802	117	128	
1600	2686252	46368	24925452	Combo	4314	181	256	
1650	3978556	24276	26217756	Combo	3186	171	128	
1651	9840	31284	26249040	Combo	3686	194	128	Speed L5
1700	1325772	21348	27564972	Combo	3013	185	128	
1750	2726196	31428	28965396	Combo	3512	161	128	
1800	4293384	34536	30532584	Combo	3812	186	128	
1850	5765664	34764	32004864	Combo	4269	158	256	
1859	5592	12996	32244792	Combo	2028	137	64	Difficulty L3
1900	1194000	64824	33433200	Combo	4842	114	1024	
1950	2613156	56244	34852356	Combo	4614	152	512	
1963	2172	17220	35241372	Combo	2497	114	128	Modifiers Menu
1970	71069	168424	36110269	Combo	4232	147	256	Modifier Unstable Stack L1
1981	221192	255876	37860392	Combo	4683	155	512	Modifier Unstable Stack L2
1991	55056	88816	39494256	Combo	2760	134	128	Modifier Queue Scrubber L1
2000	1450369	214224	40889569	Combo	4913	176	256	
2003	42753	247226	41481953	Combo	5709	176	256	Modifier Miner's Pickaxe L1
2021	66603	208982	44505803	Combo	4596	169	256	Modifier Catalyst Stack L1
2031	283141	506261	47722341	Combo	6315	171	512	Modifier Mirror Stack L1
2037	154397	481513	50793597	Combo	8261	217	512	Modifier Unstable Stack L3
2044	949193	1305923	55188393	Combo	12437	236	1024	Modifier Queue Scrubber L2
2050	3870291	598843	58109491	Combo	10045	214	512	
2051	277451	407160	58516651	Combo	9196	235	512	Modifier Miner's Pickaxe L2
2057	240358	352490	62979558	Combo	7847	235	512	Modifier Joker L1
2062	1969346	3338331	70708546	Combo	20593	359	2048	Modifier Neural Accelerator L1
2068	14805	1009674	75154005	Combo	16757	292	2048	Modifier Unstable Stack L4
2078	53859	786601	82393059	Combo	11467	212	1024	Modifier Queue Scrubber L3
2085	4440394	4617708	94779594	Combo	22381	220	4096	Modifier Miner's Pickaxe L3
2092	695345	1486638	102034545	Combo	12615	267	1024	Stack Cap L5
2100	8303033	636957	109642233	Combo	11585	256	1024	
2105	422413	807783	114561613	Combo	14513	291	512	Modifier Unstable Stack L5
2117	1200803	2090082	129740003	Combo	23584	344	2048	Modifier Queue Scrubber L4
2130	872106	1077062	144411306	Combo	17120	318	1024	Chip Yield
2142	800546	3268518	160339746	Combo	22441	342	2048	Modifier Miner's Pickaxe L4
2150	11649032	2627658	171188232	Combo	24841	483	1024	
2158	392096	2044944	188731296	Combo	26743	383	1024	Modifier Queue Scrubber L5
2180	2197428	3419262	222536628	Combo	19875	253	2048	Modifier Miner's Pickaxe L5
2200	37326918	1048872	257666118	Combo	15038	302	1024	
2240	554918	1150710	320894118	Combo	15839	319	1024	Solver PPO
