PPO learning measurement (shared model, 8 parallel workers) | hidden 64 | cap 10 q5 diff 3
Modifiers: Unstable Stack L5, Catalyst Stack L1, Mirror Stack L1, Joker L1, Miner's Pickaxe L5, Queue Scrubber L5, Neural Accelerator L1
Effective training runs: 100 032 in 3971s  (25 runs/s, ~8x wall-clock speedup)
Note: weights are averaged across workers each cycle (parallel SGD); the curve is the consensus model's cumulative progress.

EffectiveRuns	AvgHigh	AvgScore	PeakHigh
62701-63000	1477	5572	32768
63001-63300	1993	6877	65536
63301-63600	824	4485	8192
63601-63900	1579	5947	131072
63901-64200	1177	5279	32768
64201-64500	1520	5746	131072
64501-64800	2467	7940	262144
64801-65100	1579	6326	32768
65101-65400	1096	4987	32768
65401-65700	1025	5054	32768
65701-66000	1082	5031	16384
66001-66300	1022	4917	8192
66301-66600	1059	5091	16384
66601-66900	1399	5669	32768
66901-67200	1132	5293	16384
67201-67500	1157	4983	32768
67501-67800	1224	5119	32768
67801-68100	1838	6493	131072
68101-68400	1091	4866	16384
68401-68700	928	4532	16384
68701-69000	925	4391	16384
69001-69300	1050	4692	32768
69301-69600	1402	5424	65536
69601-69900	950	4283	16384
69901-70200	927	4314	16384
70201-70500	1171	4892	32768
70501-70800	1665	6049	131072
70801-71100	1350	5564	65536
71101-71400	1339	5374	65536
71401-71700	1681	6269	131072
71701-72000	990	4844	8192
72001-72300	1247	5443	32768
72301-72600	1251	5706	16384
72601-72900	1112	5206	16384
72901-73200	1165	5284	16384
73201-73500	1183	5010	16384
73501-73800	1177	4862	32768
73801-74100	1001	4714	16384
74101-74400	1350	5570	32768
74401-74700	1312	5422	65536
74701-75000	989	4612	32768
75001-75300	1328	5398	65536
75301-75600	1515	5903	32768
75601-75900	2002	6899	262144
75901-76200	1303	5629	16384
76201-76500	1577	6024	65536
76501-76800	1425	5881	16384
76801-77100	1360	5725	16384
77101-77400	1976	7035	131072
77401-77700	2231	7514	131072
77701-78000	2396	7735	262144
78001-78300	1353	5702	65536
78301-78600	1383	5308	32768
78601-78900	1492	5714	65536
78901-79200	1569	5763	131072
79201-79500	1139	5020	16384
79501-79800	1186	5085	8192
79801-80100	1908	6700	65536
80101-80400	1421	5865	32768
80401-80700	1106	4965	32768
80701-81000	1412	5530	32768
81001-81300	1468	5981	65536
