# Progression simulation
# runs=1362 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
9	Solver RAND	1000	5	1005
20	Auto Solve	1200	33	2233
45	Solver MERG	3000	16	5216
52	Chip Yield	4000	196	9396
58	Solver BAL	6000	261	15461
65	Speed L1	6000	420	21620
73	Auto Restart	8000	164	29364
85	Stack Cap L1	12000	362	41562
99	Solver STALL	18000	1352	60552
131	Solver HEUR	30000	66	89266
153	Solver Tuning	30000	50	119250
175	Speed L2	30000	821	150021
205	Queue Preview	40000	186	189386
236	Chip Yield	40000	374	229574
268	Difficulty L1	60000	334	289534
319	Stack Cap L2	70000	747	359947
371	Solver LOOK	80000	975	440175
413	Agents Menu	120000	2308	561508
416	Agent Merge Broker	60000	13828	633028
424	Agent Highwater Analyst	120000	15583	754783
431	Solver PLAN-3	130000	4453	873653
438	Speed L3	150000	11211	1030411
444	Solver COMBO	180000	3377	1202577
456	Solver MOCA	220000	3286	1422486
466	Agent Score Auditor	220000	15927	1655127
486	Chip Yield	350000	8174	1997374
502	Solver PLAN-5	400000	136	2389336
521	Stack Cap L3	400000	24808	2814008
535	Queue Preview	400000	1359	3190559
550	Agent Overclocker	400000	20148	3609348
570	Difficulty L2	600000	4872	4194072
591	Agent Quartermaster	650000	5612	4844812
612	Speed L4	800000	19307	5658507
638	Solver MOCA+	900000	10143	6549343
671	Agent Restart Sponsor	1000000	68141	7607341
712	Extra Agent Slot	1500000	37791	9076991
760	Agent Token Prospector	1500000	33723	10572923
816	Solver MCTS	1800000	15953	12355153
883	Stack Cap L4	2200000	62957	14602157
938	Agent Move Dividend	2200000	23415	16762615
1000	Chip Yield	2500000	7873	19247073
1061	Agent Velocity Trader	3000000	119605	22358805
1145	Speed L5	4000000	8457	26247657
1266	Difficulty L3	6000000	13389	32252589
1315	Modifiers Menu	3000000	54873	35294073
1316	Modifier Unstable Stack L1	800000	18534	36057734
1321	Modifier Unstable Stack L2	1600000	303269	37942469
1326	Modifier Queue Scrubber L1	1800000	93652	39532852
1330	Modifier Miner's Pickaxe L1	2000000	113343	41552543
1341	Modifier Catalyst Stack L1	3000000	875671	45314871
1345	Modifier Mirror Stack L1	3000000	1003626	48442826
1348	Modifier Unstable Stack L3	3200000	1916034	52555234
1350	Modifier Queue Scrubber L2	3600000	471014	54710214
1352	Modifier Miner's Pickaxe L2	4000000	1498037	59737237
1354	Modifier Joker L1	4500000	936307	63675507
1355	Modifier Neural Accelerator L1	6000000	36697445	105436645
1355	Modifier Unstable Stack L4	6400000	30297445	105436645
1355	Modifier Queue Scrubber L3	7200000	23097445	105436645
1355	Modifier Miner's Pickaxe L3	8000000	15097445	105436645
1355	Stack Cap L5	11000000	4097445	105436645
1356	Modifier Unstable Stack L5	12800000	27600430	141739630
1356	Modifier Queue Scrubber L4	14400000	13200430	141739630
1357	Chip Yield	15000000	23796393	167335593
1357	Modifier Miner's Pickaxe L4	16000000	7796393	167335593
1361	Modifier Queue Scrubber L5	28800000	37555091	225894291
1361	Modifier Miner's Pickaxe L5	32000000	5555091	225894291
1362	Solver PPO	100000000	20110073241708815	20110073562048015

# Per-run economy (sampled):
Run	Chips	GrossIncome	CumEarned	Solver	Score	Moves	High	Bought
1	188	188	188	Rand	430	80	16	
2	312	124	312	Rand	269	60	16	
3	433	121	433	Rand	270	59	16	
4	520	87	520	Rand	166	50	8	
5	601	81	601	Rand	157	47	8	
6	714	113	714	Rand	232	59	8	
7	787	73	787	Rand	140	40	8	
8	897	110	897	Rand	226	61	8	
9	5	108	1005	Rand	209	56	16	Solver RAND
10	75	70	1075	Rand	124	40	8	
11	170	95	1170	Rand	191	52	8	
12	365	195	1365	Rand	423	85	16	
20	33	145	2233	Rand	306	66	16	Auto Solve
45	16	105	5216	Rand	210	54	16	Solver MERG
50	2623	682	7823	Merge	1303	151	64	
52	196	673	9396	Merge	1181	146	64	Chip Yield
58	261	1112	15461	Merge	1317	152	64	Solver BAL
65	420	1134	21620	Merge	1353	153	64	Speed L1
73	164	1185	29364	Merge	1467	170	64	Auto Restart
85	362	1446	41562	Merge	1754	180	64	Stack Cap L1
99	1352	2452	60552	Merge	2584	219	128	Solver STALL
100	1954	602	61154	AntiStall	808	114	32	
131	66	804	89266	AntiStall	1032	122	64	Solver HEUR
150	25814	801	115014	Heur	1112	152	32	
153	50	2340	119250	Heur	2313	210	128	Solver Tuning
175	821	1548	150021	Heur	1915	198	64	Speed L2
200	34200	994	183400	Heur	1292	145	64	
205	186	1225	189386	Heur	1564	166	64	Queue Preview
236	374	1190	229574	Heur	1557	168	64	Chip Yield
250	26038	3482	255238	Heur	2782	250	128	
268	334	2209	289534	Heur	2148	223	64	Difficulty L1
300	39126	828	328326	Heur	1071	118	32	
319	747	2592	359947	Heur	2397	167	128	Stack Cap L2
350	46306	735	405506	Heur	956	118	32	
371	975	1138	440175	Heur	1324	131	64	Solver LOOK
400	78723	1826	517923	Look	1941	161	64	
413	2308	3795	561508	Look	3184	182	128	Agents Menu
416	13828	14899	633028	Look	2601	163	128	Agent Merge Broker
424	15583	25464	754783	Look	3402	231	128	Agent Highwater Analyst
431	4453	15109	873653	Look	2195	170	64	Solver PLAN-3
438	11211	23453	1030411	Plan3	2779	194	128	Speed L3
444	3377	12947	1202577	Plan3	1883	154	64	Solver COMBO
450	111527	11828	1310727	Combo	1735	156	64	
456	3286	11002	1422486	Combo	1647	147	64	Solver MOCA
466	15927	19239	1655127	Combo	2349	163	128	Agent Score Auditor
486	8174	10808	1997374	Combo	1619	151	64	Chip Yield
500	356430	17750	2345630	Combo	2057	151	64	
502	136	30558	2389336	Combo	2854	183	128	Solver PLAN-5
521	24808	35332	2814008	Combo	2982	187	128	Stack Cap L3
535	1359	27191	3190559	Combo	2730	201	128	Queue Preview
550	20148	33303	3609348	Combo	3185	196	128	Agent Overclocker
570	4872	40480	4194072	Combo	3804	242	128	Difficulty L2
591	5612	27374	4844812	Combo	2780	158	128	Agent Quartermaster
600	339589	45932	5178789	Combo	3524	151	256	
612	19307	121567	5658507	Combo	5878	174	512	Speed L4
638	10143	31778	6549343	Combo	2789	146	128	Solver MOCA+
650	345381	14876	6884581	Combo	1856	128	64	
671	68141	71334	7607341	Combo	4101	161	256	Agent Restart Sponsor
700	1125664	23016	8664864	Combo	2215	130	128	
712	37791	51718	9076991	Combo	3380	126	256	Extra Agent Slot
750	1182296	21461	10221496	Combo	2252	119	128	
760	33723	92724	10572923	Combo	4506	166	512	Agent Token Prospector
