# Progression simulation
# runs=8000 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
780	857124	32579	11395324	Combo	2906	146	128	
800	1502527	18000	12040727	Combo	1994	116	128	
806	5735	63319	12343935	Combo	4734	187	256	Solver MCTS
820	443320	50001	12781520	Combo	3792	164	256	
840	1125831	18106	13464031	Combo	1916	126	128	
860	1799714	28094	14137914	Combo	2729	133	128	
871	22918	41549	14561118	Combo	3670	166	128	Stack Cap L4
880	297508	46028	14835708	Combo	3243	149	256	
900	1063661	14321	15601861	Combo	1635	119	128	
920	1951229	40626	16489429	Combo	2682	146	256	
927	25523	33566	16763723	Combo	3103	160	128	Agent Move Dividend
940	463472	36539	17201672	Combo	3199	171	128	
960	1266501	52518	18004701	Combo	4083	182	256	
980	2104530	28666	18842730	Combo	3145	175	128	
992	26438	60764	19264638	Combo	4676	204	256	Chip Yield
1000	425882	38472	19664082	Combo	3185	131	128	
1020	1219946	56700	20458146	Combo	3427	165	256	
1040	2187938	24636	21426138	Combo	2571	151	128	
1053	6830	38652	22245030	Combo	3466	162	128	Agent Velocity Trader
1060	411794	51216	22649994	Combo	3166	147	256	
1080	1432370	22416	23670570	Combo	2175	133	128	
1100	2282318	51468	24520518	Combo	4034	228	128	
1120	3283946	16992	25522146	Combo	1927	119	128	
1135	19054	52680	26257254	Combo	3128	155	256	Speed L5
1140	275974	16404	26514174	Combo	1936	138	64	
1160	1213666	52800	27451866	Combo	3222	129	256	
1180	2173774	57780	28411974	Combo	3636	143	256	
1200	3260446	29016	29498646	Combo	2644	160	128	
1220	4248694	66312	30486894	Combo	4161	191	256	
1240	5296702	23496	31534902	Combo	2284	155	128	
1256	6802	43092	32245002	Combo	2976	153	256	Difficulty L3
1260	280354	50652	32518554	Combo	3884	129	256	
1280	1423066	56340	33661266	Combo	3053	123	256	
1300	2345554	18960	34583754	Combo	2158	119	128	
1320	3985774	31188	36223974	Combo	2842	131	128	
1340	5216662	54804	37454862	Combo	3397	129	256	
1360	6502030	39468	38740230	Combo	3504	121	256	
1380	7680610	35016	39918810	Combo	3671	142	128	
1400	8842390	79296	41080590	Combo	3893	142	512	
1420	9669766	81444	41907966	Combo	3621	128	512	
1440	10795414	27780	43033614	Combo	2462	136	128	
1442	56846	70944	43295046	Combo	3666	116	512	Stack Cap L5
1460	1266950	51924	44505150	Combo	3328	125	256	
1480	2589158	53868	45827358	Combo	3582	142	256	
1500	3933158	102048	47171358	Combo	4443	134	512	
1520	5399654	65472	48637854	Combo	4246	166	256	
1540	6736298	90468	49974498	Combo	5386	149	256	
1560	7790354	42468	51028554	Combo	4108	155	128	
1580	9121478	56652	52359678	Combo	4386	175	128	
1600	10503590	22284	53741790	Combo	2575	139	128	
1620	11885654	175020	55123854	Combo	7222	177	512	
1640	12992450	8064	56230650	Combo	1689	95	64	
1660	14260058	23172	57498258	Combo	2635	120	128	
1673	146354	171336	58384554	Combo	7666	237	512	Chip Yield
1680	944790	47677	59182990	Combo	3584	147	128	
1700	2126837	39453	60365037	Combo	3211	153	128	
1720	3638219	42672	61876419	Combo	2832	126	256	
1740	4972928	44568	63211128	Combo	3337	176	128	
1760	6380737	24638	64618937	Combo	2335	113	128	
1780	8127329	42681	66365529	Combo	3378	126	128	
1800	10011029	117192	68249229	Combo	4505	153	512	
1820	11477995	66833	69716195	Combo	3963	141	256	
1840	13000429	84603	71238629	Combo	4614	147	256	
1860	14443501	77564	72681701	Combo	4083	159	256	
1880	16022593	75246	74260793	Combo	4401	143	256	
1900	17496663	169122	75734863	Combo	4729	117	1024	
1920	18703976	62057	76942176	Combo	4494	167	128	
1940	20453496	288415	78691696	Combo	8981	173	1024	
1960	21898191	27096	80136391	Combo	2765	110	128	
1980	23257200	80002	81495400	Combo	4303	173	256	
2000	24882099	47339	83120299	Combo	3040	113	256	
