# Progression simulation
# runs=7556 seed=12345 moveCap=1000 manualProxy=Rand stopAtPpo=False simulateResearch=True targetPrestiges=6 ppoNormalRunsPerPrestige=100
# finalChips=900000 totalEarned=900000 prestiges=6 insight=20383 cycleInsight=0 lifetimeInsight=22866
# Purchases:
Run	Label	Cost	Currency	BalanceAfter	TotalEarnedAfter
4092	Modifier Unstable Stack L3	3200000	chips	342575	44981775
4099	Modifier Queue Scrubber L2	3600000	chips	462771	48701971
4105	Modifier Miner's Pickaxe L2	4000000	chips	166904	52406104
4114	Modifier Joker L1	4500000	chips	467087	57206287
4120	Difficulty L3	6000000	chips	4007144	66746344
4123	Modifier Neural Accelerator L1	6000000	chips	467065	69206265
4130	Modifier Unstable Stack L4	6400000	chips	664309	75803509
4135	Modifier Queue Scrubber L3	7200000	chips	769274	83108474
4143	Modifier Miner's Pickaxe L3	8000000	chips	257947	90597147
4152	Stack Cap L5	11000000	chips	109497	101448697
4163	Modifier Unstable Stack L5	12800000	chips	399481	114538681
4178	Modifier Queue Scrubber L4	14400000	chips	351948	128891148
4186	Chip Yield	15000000	chips	1195889	144735089
4198	Modifier Miner's Pickaxe L4	16000000	chips	363151	159902351
4219	Modifier Queue Scrubber L5	28800000	chips	163657	188502857
4243	Modifier Miner's Pickaxe L5	32000000	chips	100727	220439927
4300	Solver PPO	100000000	chips	8689	320347889
4305	PPO Training Complete	0	frames	500000	321525527
4306	Prestige +60 Insight	0	Insight	312	0
4306	Research Seed Capital L1	1	Insight	311	0
4306	Research Insight Amplifier L2	2	Insight	309	0
4306	Research Seed Capital L2	2	Insight	307	0
4306	Research Automation Memory L1	2	Insight	305	0
4306	Research Algorithm Archive L1	3	Insight	302	0
4306	Research Yield Theory L1	2	Insight	300	0
4306	Research Passive Insight L1	3	Insight	297	0
4306	Research Insight Amplifier L3	4	Insight	293	0
4306	Research Seed Capital L3	4	Insight	289	0
4306	Research Yield Theory L2	4	Insight	285	0
4306	Research PPO Bootcamp L1	4	Insight	281	0
4306	Research Offline Engine L1	4	Insight	277	0
4306	Research Automation Memory L2	5	Insight	272	0
4306	Research Offline Buffer L1	5	Insight	267	0
4306	Research PPO Memory L1	6	Insight	261	0
4306	Research Passive Insight L2	7	Insight	254	0
4306	Research Insight Amplifier L4	8	Insight	246	0
4306	Research Seed Capital L4	8	Insight	238	0
4306	Research Algorithm Archive L2	8	Insight	230	0
4306	Research High Focus L1	8	Insight	222	0
4306	Research Yield Theory L3	9	Insight	213	0
4306	Research PPO Bootcamp L2	9	Insight	204	0
4306	Research Stability Model L1	10	Insight	194	0
4306	Research Offline Engine L2	10	Insight	184	0
4306	Research Automation Memory L3	12	Insight	172	0
4306	Research Offline Buffer L2	12	Insight	160	0
4306	Research PPO Memory L2	14	Insight	146	0
4306	Research Insight Extractor L1	14	Insight	132	0
4306	Research Passive Insight L3	15	Insight	117	0
4306	Research Insight Amplifier L5	16	Insight	101	0
4306	Research Seed Capital L5	16	Insight	85	0
4306	Research Algorithm Archive L3	18	Insight	67	0
4306	Research Yield Theory L4	18	Insight	49	0
4306	Research PPO Bootcamp L3	18	Insight	31	0
4306	Research High Focus L2	18	Insight	13	0
4307	Chip Yield	4000	chips	896840	840
4307	Speed L1	6000	chips	890840	840
4307	Stack Cap L1	12000	chips	878840	840
4307	Solver STALL	18000	chips	860840	840
4307	Solver HEUR	30000	chips	830840	840
4307	Speed L2	30000	chips	800840	840
4307	Queue Preview	40000	chips	760840	840
4307	Chip Yield	40000	chips	720840	840
